OBJECTID,id_no,binomial,orig_area_km2
568,3755,Canis mesomelas,6453561.3065135526
569,3747,Canis rufus,3120.7140146576971
570,3748,Canis simensis,6913.9525783307436
571,3759,Cannomys badius,1043823.255198317
572,3760,Cansumys canus,160979.17398186939
573,3778,Caperea marginata,72475361.409229726
574,3786,Capra aegagrus,1214963.151718684
575,3794,Capra caucasica,7868.9562984740978
576,3795,Capra cylindricornis,22805.654913095452
577,3787,Capra falconeri,25328.596527777059
578,42397,Capra ibex,19233.355626474451
579,3796,Capra nubiana,342504.72707489692
580,3798,Capra pyrenaica,92675.469483343535
581,42398,Capra sibirica,1562817.1858959759
582,3797,Capra walie,844.930601313701
583,42395,Capreolus capreolus,6468363.6939124484
584,42396,Capreolus pygargus,11997362.141870961
585,3811,Capricornis crispus,160080.93366592831
586,3815,Capricornis rubidus,86341.743853438704
587,162916735,Capricornis sumatraensis,3511807.245841003
588,3810,Capricornis swinhoei,14412.35643214021
589,3833,Caprolagus hispidus,114647.7735299265
590,3842,Capromys pilorides,111094.5636584017
591,18306,Caracal aurata,4129634.6126894741
592,3847,Caracal caracal,17204814.219327781
593,3858,Cardiocranius paradoxus,1986120.716891747
594,3859,Cardioderma cor,2246028.610067321
