OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
533,742,Anolis equestris,lizard,38987.89111
534,743,Anolis ernestwilliamsi,lizard,0.316430666
535,745,Anolis eugenegrahami,lizard,0.459365926
536,746,Anolis eulaemus,lizard,2144.755405
537,748,Anolis evermanni,lizard,265.7161667
538,749,Anolis extremus,lizard,1628.975932
539,750,Anolis fairchildi,lizard,2.273279229
540,751,Anolis fasciatus,lizard,8996.790797
541,752,Anolis ferreus,lizard,5.79305137
542,753,Anolis festae,lizard,6378.921339
543,758,Anolis fraseri,lizard,8514.904237
544,759,Anolis frenatus,lizard,11995.76681
545,762,Anolis fuscoauratus,lizard,911145.2964
546,763,Anolis gadovii,lizard,8.698215059
547,764,Anolis gaigei,lizard,6259.94487
548,765,Anolis garmani,lizard,361.6002321
549,768,Anolis gibbiceps,lizard,64774.50742
550,771,Anolis gorgonae,lizard,0.089213199
551,772,Anolis gracilipes,lizard,999.6088782
552,773,Anolis grahami,lizard,367.283093
553,774,Anolis granuliceps,lizard,4205.561805
